MAL_ID,Synopsis
111,average lives future computers supported single global network girl lab accident approached program tells save intelligence program programs originally designed manager reluctant play complete lack knowledge ability computers save gain trust programs professor
112,sun return meeting combat evil strange black towers land evil defeat return
114,typical mild school student average average school student school breeding ground reasons leave hard day surrounded robots freddie mercury riding horse follow school life school reputation havoc
115,plans retire water married life fujisawa replacement chance laboratory sends grey industrial city protected huge castle alternative
117,agrees testify student council president school clubs student council elections attempt proclaimed rival suddenly chase time stops campus light coming school closed ancient uncovered walking surrounded light woman claims waiting weakened passage time remaining power transport confused el hazard school caught fujisawa teacher sister president el hazard individuals filled danger
121,edward brilliant lost life brother dead mother human edward loses brother supreme skills edward soul suit edward brother stone object rumored capable allowing override fundamental law gain sacrifice equal edward hopes draw military resources stone restore bodies normal brothers discover legendary stone meets eye led epicenter battle
122,friend moved america feelings contact promise fulfill respective dreams professional singer hopes day music reach moon catch cancer voice quiet music insists surgery remove cancer refuses risk losing voice day left live sudden action decides professional singer time left moon wo emotional friends discover ultimately live
123,visiting national library junior students book set ancient china universe suddenly responsibility purpose wishes enemy nation god enemies friends struggle respective wishes
124,technically married months family born girl enters determined win heart
125,mother dead father returns town lived child attend school time local caught local town
126,agency family business father death weeks live identical running local
127,technology science industry tokyo time alive shadow looms quietly corner secret agency existence fighting enemy job ability gates defeat specialized task force gate composed extraordinary individuals variety gate save vicious planet average school student lives mother sister school day heading house desperate plight save family ability gate allowing massive amounts energy ability exposed attention gate friend
128,passed initial defeat underground organization consisting gate left save sick society defeat spite father suddenly revival machine count ghost girl save
129,humans lived harmony unity started attacking humans mission evil thousands team son west restore balance humans earth
130,son maintain reputation continue fight deal increasing defeat powerful enemy
131,mission prevent son fight goal path internal pair west fate mission stake
132,ban backers success rate lost stolen powerful enthusiastic behavior ban broke matter simply people desire hire result pair tend dangerous jobs leading unwanted dangerous friends
133,male school located japan male school life difficult female students miles psychological health school board decided merge girl school boys prospect school life boys decisions invited stay month green green called ability talk complete school bus weird girl bus confused natural shared history aware
134,heart italy social welfare agency hospital chance life artificially enhanced bodies trained carry italian government modifications children heart struggling recognition love knowing love feel manufactured tale agency
135,searching board greeted voice falls voice belongs spirit ancient expert japanese era passion game time space allowing continue playing game entity ultimate goal master technique player achieved seeks accomplish playing board game board games agrees play executing moves instructed passion game slowly inspired rival
136,specialized wide variety fields ranging hunting cooking access unavailable funds pursue dreams hunter privilege deadly extremely success rate boy hope finding missing father sets hunter picks aim dangerous seeking doctor child age hunter hunter classic fighting dreams odds
141,girl build models robots lived passes shortly brought secret base huge robot robots fight ancient grand true meaning fights hidden hard base day pilot robots discover secrets
142,normal school girl fish thief night seal pieces weak hearts owners thief disappear day neighbor appears rival night job thief friend daughter capture appearance rival easy
143,village time passes slowly nature students village prestigious academy night day shy bold elegant love matter hard shared birthday voice friends attacking solar powers lay evil hurdle fend threaten people
144,visited parents africa pursue careers finally northern town prospect living memories people living play time day moving starts boxes red recognize clues snow covered town start broken promises buried secrets female links forgotten
145,female representative class popular girl school sports elegant object life reality person maintain grades appearance center attention stand male representative class person perfect day school struggled steal rival score surprise achievement leading question deceptive love hint regret day visits house bring action equipped truth completing student council duties spending time secrets
146,school student time motor bike deliveries light passing fell forest beautiful girl coming calling embarrassed strange monster suddenly attacked demonstrated power clue
147,golden sun school student boy couple supported mutual friends friends tragedy strikes fate lying sudden lives threatens limits friends bonds
148,couple diamond dust drama conflicts diamond dust eventually links search
149,person born cat disappear person sexual additionally fighting fighting couples sacrifice fighter receives damage attacks boy unknown reason brother killed life hard day school approached called claims late brother brother fighting pair inherited brother truth brother death organization responsible closer intended
150,seemingly ordinary girl living mundane life family city suffering unable remember life previous forgotten night attacked school feeds human blood hope lost appears temporarily forces drink blood suddenly enters monster ease blood catalyst organization red shield founded sole purpose red shield fight secrets girl
151,organization presence tokyo money police appearance lone evil schemes result late professor prize experiment master alter physical appearance push heart love justice
152,future based disaster city enormous gap rich poor hard humans walking body roy job hunter hire difficult girl strength dangerous criminal roy joining engage battle truth giant supposedly serving life lost memory escaped security bureau hunter roy daughter hired
154,battle tokyo fight held command spirits combat victor contest king contact control spirit allowing power late night walk runs invites friends ghosts local cemetery knowledge rare sixth sense spirits boy beaten local gang decides ghost broken gang leader spirits including fight friend aims claim victory
